	publication	rating	reviewer	gender	probability
0	SSG Syndicate	rotten	Susan Granger	female	1.0
1	Scotsman	fresh	Alistair Harkness	male	1.0
2	London Evening Standard	fresh	David Sexton	male	1.0
3	Aisle Seat	fresh	Mike McGranaghan	male	1.0
4	Daily Express (UK)	fresh	Henry Fitzherbert	male	1.0
5	Daily Express (UK)	fresh	Allan Hunter	male	1.0
6	Observer (UK)	fresh	Mark Kermode	male	1.0
7	Kaplan vs. Kaplan	rotten	David Kaplan	male	1.0
8	Matt's Movie Reviews	rotten	Matthew Pejkovic	male	1.0
9	Ozus' World Movie Reviews	rotten	Dennis Schwartz	male	0.99
10	The Mercury	fresh	Tim Martain	male	0.99
11	Creative Loafing	fresh	Matt Brunson	male	1.0
12	Killer Movie Reviews	fresh	Andrea Chase	female	0.79
13	Otroscines.com	fresh	Diego Battle	male	1.0
14	Houston Press	fresh	Pete Vonder Haar	male	1.0
15	Leonard Maltin's Picks	fresh	Leonard Maltin	male	1.0
16	Film International	fresh	Elias Savada	male	1.0
17	ScreenRant	fresh	Ben Kendrick	male	0.99
18	Movie Chambers	fresh	Paul Chambers	male	1.0
19	Columbus Alive	fresh	Brad Keefe	male	0.99
20	RTE Interactive (Ireland)	rotten	Harry Guerin	male	0.99
21	BBC.com	fresh	Nicholas Barber	male	1.0
22	The National (UAE)	fresh	James Mottram	male	0.99
23	Independent (UK)	rotten	Geoffrey Macnab	male	1.0
24	The Australian	fresh	Stephen Romei	male	1.0
25	The Mary Sue	fresh	Marcy Cook	female	0.98
26	NY1-TV	rotten	Neil Rosen	male	1.0
27	Combustible Celluloid	fresh	Jeffrey M. Anderson	male	1.0
28	Toledo Blade	rotten	Kirk Baird	male	1.0
29	Tulsa World	fresh	Michael Smith	male	1.0
30	Bangkok Post	fresh	Parisa Pichitmarn	female	1.0
31	Baltimore Magazine	fresh	Max Weiss	male	0.98
32	Deseret News, Salt Lake City	rotten	Josh Terry	male	1.0
33	Cinemixtape	fresh	J. Olson		0.0
34	Common Sense Media	fresh	S. Jhoanna Robledo	female	1.0
35	Tri-City Herald	fresh	Gary Wolcott	male	1.0
36	Boston Herald	rotten	James Verniere	male	0.99
37	BET.com	rotten	Clay Cane	male	1.0
38	HeraldNet (Everett, WA)	fresh	Robert Horton	male	1.0
39	Flavorwire	fresh	Jason Bailey	male	1.0
40	Capital Times (Madison, WI)	fresh	Rob Thomas	male	0.99
41	Showbiz Junkies	fresh	Rebecca Murray	female	1.0
42	Washington Free Beacon	rotten	Sonny Bunch	male	0.95
43	HollywoodInToto.com	rotten	Christian Toto	male	0.99
44	Brooklyn Magazine	fresh	Scout Tafoya	female	0.88
45	Flixist.com	fresh	Matthew Razak	male	1.0
46	ABC Tucson	rotten	Phil Villarreal	male	0.99
